variant,algo,env_base,dataset,seed,status,config,run_tag,run_dir,started,finished,eta,notes,updated_at
baseline,iql,hopper,medium,0,done,configs/baseline_iql.yaml,baseline,results/iql/hopper-medium-v2/s0/0803_0741_baseline_iql_hopper-medium-v2_s0,2026-08-03 07:41:48,2026-08-03 08:21:52,,done,2026-08-03 08:49:29
baseline,iql,hopper,expert,0,running,configs/baseline_iql.yaml,baseline,results/iql/hopper-expert-v2/s0/0803_0821_baseline_iql_hopper-expert-v2_s0,2026-08-03 08:21:52,,~finish then switch; 683k/1000k,finish this cell only; no more expert cells,2026-08-03 08:49:29
baseline,iql,hopper,medium-replay,0,queued,configs/baseline_iql.yaml,baseline,,,,,will run after switcher (medium-expert matrix),2026-08-03 08:52:48
baseline,iql,hopper,medium-expert,0,queued,configs/baseline_iql.yaml,baseline,,,,,replaces expert; after switcher relaunch,2026-08-03 08:49:29
baseline,iql,halfcheetah,medium,0,queued,configs/baseline_iql.yaml,baseline,,,,,will run after switcher (medium-expert matrix),2026-08-03 08:49:29
baseline,iql,halfcheetah,expert,0,cancelled,configs/baseline_iql.yaml,baseline,,,,,cancelled; use medium-expert,2026-08-03 08:49:29
baseline,iql,halfcheetah,medium-replay,0,queued,configs/baseline_iql.yaml,baseline,,,,,will run after switcher (medium-expert matrix),2026-08-03 08:52:48
baseline,iql,halfcheetah,medium-expert,0,queued,configs/baseline_iql.yaml,baseline,,,,,replaces expert; after switcher relaunch,2026-08-03 08:49:29
baseline,iql,walker2d,medium,0,queued,configs/baseline_iql.yaml,baseline,,,,,will run after switcher (medium-expert matrix),2026-08-03 08:49:29
baseline,iql,walker2d,expert,0,cancelled,configs/baseline_iql.yaml,baseline,,,,,cancelled; use medium-expert,2026-08-03 08:49:29
baseline,iql,walker2d,medium-replay,0,queued,configs/baseline_iql.yaml,baseline,,,,,will run after switcher (medium-expert matrix),2026-08-03 08:52:48
baseline,iql,walker2d,medium-expert,0,queued,configs/baseline_iql.yaml,baseline,,,,,replaces expert; after switcher relaunch,2026-08-03 08:49:29
v8_hold,iql,hopper,medium,0,queued,configs/v8_hold.yaml,v8_hold,,,,,after iql matrix; expert→medium-expert,2026-08-03 08:49:29
v8_hold,iql,hopper,medium-expert,0,queued,configs/v8_hold.yaml,v8_hold,,,,,after iql matrix; expert→medium-expert,2026-08-03 08:49:29
v8_hold,iql,hopper,medium-replay,0,queued,configs/v8_hold.yaml,v8_hold,,,,,after iql matrix; expert→medium-expert,2026-08-03 08:52:48
v8_hold,iql,halfcheetah,medium,0,queued,configs/v8_hold.yaml,v8_hold,,,,,after iql matrix; expert→medium-expert,2026-08-03 08:49:29
v8_hold,iql,halfcheetah,medium-expert,0,queued,configs/v8_hold.yaml,v8_hold,,,,,after iql matrix; expert→medium-expert,2026-08-03 08:49:29
v8_hold,iql,halfcheetah,medium-replay,0,queued,configs/v8_hold.yaml,v8_hold,,,,,after iql matrix; expert→medium-expert,2026-08-03 08:52:48
v8_hold,iql,walker2d,medium,0,queued,configs/v8_hold.yaml,v8_hold,,,,,after iql matrix; expert→medium-expert,2026-08-03 08:49:29
v8_hold,iql,walker2d,medium-expert,0,queued,configs/v8_hold.yaml,v8_hold,,,,,after iql matrix; expert→medium-expert,2026-08-03 08:49:29
v8_hold,iql,walker2d,medium-replay,0,queued,configs/v8_hold.yaml,v8_hold,,,,,after iql matrix; expert→medium-expert,2026-08-03 08:52:48
